officeCity,processTypeName,method,submittedAt,decisionAt,status,notes,confidenceScore,isOfficial
Berlin,EU Blue Card - Initial,online,2026-01-11,2026-02-08,approved,"Official (ServicePortal Berlin): eAT pickup after appointment ~4�6 weeks. Post-appointment document production time, not full submission?decision.",0.98,true
Berlin,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (ServicePortal Berlin): eAT pickup after appointment ~4�6 weeks (upper bound).,0.98,true
Berlin,Student Visa - Initial Application,online,2026-01-11,2026-02-08,approved,Official (ServicePortal Berlin): eAT pickup after appointment ~4�6 weeks.,0.98,true
Berlin,Student Visa - Initial Application,online,2025-12-28,2026-02-08,approved,Official (ServicePortal Berlin): eAT pickup after appointment ~4�6 weeks (upper bound).,0.98,true
Berlin,Language Course Visa,online,2026-01-11,2026-02-08,approved,Official (ServicePortal Berlin): eAT pickup after appointment ~4�6 weeks.,0.98,true
Berlin,Language Course Visa,online,2025-12-28,2026-02-08,approved,Official (ServicePortal Berlin): eAT pickup after appointment ~4�6 weeks (upper bound).,0.98,true
Berlin,Work Permit (�18b),online,2026-01-11,2026-02-08,approved,Official (ServicePortal Berlin � academic skilled worker): eAT pickup after appointment ~4�6 weeks.,0.98,true
Berlin,Work Permit (�18b),online,2025-12-28,2026-02-08,approved,Official (ServicePortal Berlin � academic skilled worker): eAT pickup after appointment ~4�6 weeks (upper bound).,0.98,true
Berlin,Job Seeker Visa,online,2026-01-11,2026-02-08,approved,Official (ServicePortal Berlin): eAT pickup after appointment ~4�6 weeks.,0.98,true
Berlin,Job Seeker Visa,online,2025-12-28,2026-02-08,approved,Official (ServicePortal Berlin): eAT pickup after appointment ~4�6 weeks (upper bound).,0.98,true
Berlin,Freelance Visa (�21),online,2026-01-11,2026-02-08,approved,Official (ServicePortal Berlin): eAT pickup after appointment ~4�6 weeks; sticker may be issued immediately at appointment.,0.98,true
Berlin,Freelance Visa (�21),online,2025-12-28,2026-02-08,approved,Official (ServicePortal Berlin): eAT pickup after appointment ~4�6 weeks (upper bound).,0.98,true
Berlin,Settlement Permit (Niederlassungserlaubnis),online,2026-01-11,2026-02-08,approved,"Official (ServicePortal Berlin): after appointment, at least 4 weeks until eAT can be picked up (lower bound only).",0.97,true
Berlin,Address Registration (Anmeldung),in-person,2026-02-08,2026-02-08,approved,Official (ServicePortal Berlin): average processing time �sofort� (completed immediately).,0.99,true
Berlin,Deregistration (Abmeldung),in-person,2026-02-08,2026-02-08,approved,Official (ServicePortal Berlin): completed during in-person visit (abschlie�end bearbeitet).,0.99,true
Berlin,Driver License Application,in-person,2026-01-25,2026-02-08,approved,Official (ServicePortal Berlin): processing duration varies 14 days�3 months (lower bound).,0.95,true
Berlin,Driver License Application,in-person,2025-11-10,2026-02-08,approved,Official (ServicePortal Berlin): processing duration varies 14 days�3 months (upper bound).,0.95,true
Berlin,Tax ID (Steuer-ID) Application,online,2026-01-11,2026-02-08,approved,"Official government portal: IdNr notification up to 4 weeks; first registration cases 4�8 weeks (federal process, applies to Berlin residents).",0.95,true
Munich,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (KVR Munich): Bearbeitungszeit 10�12 Wochen (general residence/work permit processing time; may vary by process).,0.96,true
Munich,EU Blue Card - Initial,online,2025-11-16,2026-02-08,approved,Official (KVR Munich): Bearbeitungszeit 10�12 Wochen (upper bound).,0.96,true
Munich,Student Visa - Initial Application,online,2025-12-28,2026-02-08,approved,Official (KVR Munich): Bearbeitungszeit 10�12 Wochen (general residence/work permit processing time; apply cautiously per process).,0.96,true
Munich,Student Visa - Initial Application,online,2025-11-16,2026-02-08,approved,Official (KVR Munich): Bearbeitungszeit 10�12 Wochen (upper bound).,0.96,true
Munich,Work Permit (�18b),online,2025-12-28,2026-02-08,approved,Official (KVR Munich): Bearbeitungszeit 10�12 Wochen (general).,0.96,true
Munich,Work Permit (�18b),online,2025-11-16,2026-02-08,approved,Official (KVR Munich): Bearbeitungszeit 10�12 Wochen (upper bound).,0.96,true
Frankfurt,EU Blue Card - Initial,online,2025-11-30,2026-02-08,approved,Official (Frankfurt Immigration Office): eAT completion/issuance can take up to 10 weeks (upper bound; not a full submission?decision range).,0.95,true
Frankfurt,Student Visa - Initial Application,online,2025-11-30,2026-02-08,approved,Official (Frankfurt Immigration Office): eAT completion up to 10 weeks (upper bound).,0.95,true
Frankfurt,Work Permit (�18b),online,2025-11-30,2026-02-08,approved,Official (Frankfurt Immigration Office): eAT completion up to 10 weeks (upper bound).,0.95,true
Stuttgart,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (Stuttgart): eAT pickup can be booked earliest 6 weeks after application (minimum; no official upper bound stated).,0.95,true
Stuttgart,Student Visa - Initial Application,online,2025-12-28,2026-02-08,approved,Official (Stuttgart): eAT pickup earliest 6 weeks after application (minimum).,0.95,true
Stuttgart,Work Permit (�18b),online,2025-12-28,2026-02-08,approved,Official (Stuttgart): eAT pickup earliest 6 weeks after application (minimum).,0.95,true
Stuttgart,Address Registration (Anmeldung),in-person,2026-02-08,2026-02-08,approved,Official (Stuttgart B�rgerb�ro): documents changed immediately and you get confirmation on the spot (�sofort vor Ort�).,0.99,true
Hamburg,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (Hamburg Serviceportal): eAT production takes approx. 4�6 weeks after application/biometrics; not full submission?decision.,0.97,true
Hamburg,EU Blue Card - Initial,online,2026-01-11,2026-02-08,approved,Official (Hamburg Serviceportal): eAT production 4�6 weeks (lower bound).,0.97,true
Hamburg,Student Visa - Initial Application,online,2025-12-28,2026-02-08,approved,Official (Hamburg Serviceportal): eAT production approx. 4�6 weeks.,0.97,true
Hamburg,Work Permit (�18b),online,2025-12-28,2026-02-08,approved,Official (Hamburg Serviceportal): eAT production approx. 4�6 weeks.,0.97,true
Hamburg,Settlement Permit (Niederlassungserlaubnis),online,2025-12-28,2026-02-08,approved,Official (Hamburg Serviceportal): eAT production approx. 4�6 weeks after appointment.,0.96,true
Hamburg,Address Registration (Anmeldung),in-person,2026-02-08,2026-02-08,approved,Official (Hamburg B�rgeramt): processed immediately during appointment.,0.99,true
Cologne,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (Stadt K�ln): eAT production takes several weeks; commonly cited ~4�6 weeks after appointment (post-biometric stage).,0.94,true
Cologne,Student Visa - Initial Application,online,2025-12-28,2026-02-08,approved,Official (Stadt K�ln): eAT production several weeks after appointment; no city-wide numeric SLA published.,0.94,true
Cologne,Work Permit (�18b),online,2025-12-28,2026-02-08,approved,Official (Stadt K�ln): residence permit card production several weeks post-appointment.,0.94,true
Cologne,Address Registration (Anmeldung),in-person,2026-02-08,2026-02-08,approved,Official (K�ln B�rgeramt): completed immediately during appointment.,0.99,true
